#       omega                  E                         P                            alpha             
    -1.50350e+02     2.407326e+00-4.257768e-05j   1.107199e+03+1.978118e+03j            8.217157e+02          
    -1.49950e+02     2.424071e+00-4.222027e-05j   1.118611e+03+1.990005e+03j            8.209431e+02          
    -1.49550e+02     2.440888e+00-4.184612e-05j   1.130107e+03+2.001941e+03j            8.201770e+02          
    -1.49149e+02     2.457777e+00-4.145537e-05j   1.141686e+03+2.013926e+03j            8.194174e+02          
    -1.48749e+02     2.474736e+00-4.104818e-05j   1.153349e+03+2.025958e+03j            8.186641e+02          
    -1.48348e+02     2.491766e+00-4.062469e-05j   1.165096e+03+2.038040e+03j            8.179173e+02          
    -1.47948e+02     2.508868e+00-4.018507e-05j   1.176928e+03+2.050170e+03j            8.171768e+02          
    -1.47548e+02     2.526039e+00-3.972947e-05j   1.188844e+03+2.062348e+03j            8.164427e+02          
    -1.47147e+02     2.543282e+00-3.925807e-05j   1.200846e+03+2.074574e+03j            8.157149e+02          
    -1.46747e+02     2.560595e+00-3.877105e-05j   1.212933e+03+2.086850e+03j            8.149935e+02          
    -1.46346e+02     2.577978e+00-3.826859e-05j   1.225106e+03+2.099173e+03j            8.142783e+02          
    -1.45946e+02     2.595431e+00-3.775089e-05j   1.237364e+03+2.111545e+03j            8.135694e+02          
    -1.45546e+02     2.612954e+00-3.721813e-05j   1.249709e+03+2.123965e+03j            8.128667e+02          
    -1.45145e+02     2.630546e+00-3.667052e-05j   1.262140e+03+2.136434e+03j            8.121702e+02          
    -1.44745e+02     2.648208e+00-3.610827e-05j   1.274658e+03+2.148951e+03j            8.114800e+02          
    -1.44344e+02     2.665940e+00-3.553160e-05j   1.287263e+03+2.161516e+03j            8.107959e+02          
    -1.43944e+02     2.683740e+00-3.494072e-05j   1.299955e+03+2.174129e+03j            8.101180e+02          
    -1.43544e+02     2.701610e+00-3.433586e-05j   1.312735e+03+2.186791e+03j            8.094462e+02          
    -1.43143e+02     2.719548e+00-3.371725e-05j   1.325602e+03+2.199501e+03j            8.087805e+02          
    -1.42743e+02     2.737555e+00-3.308512e-05j   1.338558e+03+2.212259e+03j            8.081209e+02          
    -1.42342e+02     2.755630e+00-3.243973e-05j   1.351601e+03+2.225065e+03j            8.074674e+02          
    -1.41942e+02     2.773773e+00-3.178132e-05j   1.364734e+03+2.237920e+03j            8.068200e+02          
    -1.41542e+02     2.791984e+00-3.111014e-05j   1.377955e+03+2.250822e+03j            8.061786e+02          
    -1.41141e+02     2.810263e+00-3.042645e-05j   1.391265e+03+2.263773e+03j            8.055432e+02          
    -1.40741e+02     2.828609e+00-2.973052e-05j   1.404664e+03+2.276771e+03j            8.049138e+02          
    -1.40340e+02     2.847022e+00-2.902261e-05j   1.418152e+03+2.289818e+03j            8.042904e+02          
    -1.39940e+02     2.865502e+00-2.830299e-05j   1.431731e+03+2.302912e+03j            8.036730e+02          
    -1.39540e+02     2.884049e+00-2.757195e-05j   1.445399e+03+2.316055e+03j            8.030615e+02          
    -1.39139e+02     2.902662e+00-2.682976e-05j   1.459157e+03+2.329245e+03j            8.024560e+02          
    -1.38739e+02     2.921341e+00-2.607671e-05j   1.473006e+03+2.342483e+03j            8.018564e+02          
    -1.38338e+02     2.940086e+00-2.531311e-05j   1.486946e+03+2.355768e+03j            8.012626e+02          
    -1.37938e+02     2.958897e+00-2.453923e-05j   1.500976e+03+2.369102e+03j            8.006748e+02          
    -1.37538e+02     2.977773e+00-2.375538e-05j   1.515097e+03+2.382483e+03j            8.000928e+02          
    -1.37137e+02     2.996714e+00-2.296187e-05j   1.529309e+03+2.395911e+03j            7.995167e+02          
    -1.36737e+02     3.015720e+00-2.215900e-05j   1.543613e+03+2.409387e+03j            7.989464e+02          
    -1.36336e+02     3.034790e+00-2.134709e-05j   1.558008e+03+2.422911e+03j            7.983820e+02          
    -1.35936e+02     3.053925e+00-2.052645e-05j   1.572495e+03+2.436482e+03j            7.978233e+02          
    -1.35536e+02     3.073123e+00-1.969741e-05j   1.587074e+03+2.450100e+03j            7.972705e+02          
    -1.35135e+02     3.092385e+00-1.886027e-05j   1.601745e+03+2.463766e+03j            7.967234e+02          
    -1.34735e+02     3.111710e+00-1.801538e-05j   1.616508e+03+2.477479e+03j            7.961821e+02          
    -1.34334e+02     3.131098e+00-1.716305e-05j   1.631364e+03+2.491239e+03j            7.956465e+02          
    -1.33934e+02     3.150549e+00-1.630363e-05j   1.646312e+03+2.505046e+03j            7.951167e+02          
    -1.33534e+02     3.170062e+00-1.543745e-05j   1.661354e+03+2.518900e+03j            7.945926e+02          
    -1.33133e+02     3.189636e+00-1.456484e-05j   1.676488e+03+2.532801e+03j            7.940743e+02          
    -1.32733e+02     3.209273e+00-1.368615e-05j   1.691715e+03+2.546748e+03j            7.935616e+02          
    -1.32332e+02     3.228970e+00-1.280172e-05j   1.707036e+03+2.560743e+03j            7.930546e+02          
    -1.31932e+02     3.248729e+00-1.191190e-05j   1.722450e+03+2.574784e+03j            7.925533e+02          
    -1.31532e+02     3.268548e+00-1.101703e-05j   1.737958e+03+2.588872e+03j            7.920577e+02          
    -1.31131e+02     3.288427e+00-1.011747e-05j   1.753559e+03+2.603007e+03j            7.915677e+02          
    -1.30731e+02     3.308365e+00-9.213573e-06j   1.769254e+03+2.617188e+03j            7.910834e+02          
    -1.30330e+02     3.328363e+00-8.305686e-06j   1.785043e+03+2.631415e+03j            7.906047e+02          
    -1.29930e+02     3.348421e+00-7.394167e-06j   1.800926e+03+2.645689e+03j            7.901316e+02          
    -1.29530e+02     3.368536e+00-6.479376e-06j   1.816904e+03+2.660009e+03j            7.896641e+02          
    -1.29129e+02     3.388710e+00-5.561672e-06j   1.832975e+03+2.674375e+03j            7.892023e+02          
    -1.28729e+02     3.408942e+00-4.641415e-06j   1.849141e+03+2.688787e+03j            7.887460e+02          
    -1.28328e+02     3.429231e+00-3.718967e-06j   1.865402e+03+2.703245e+03j            7.882953e+02          
    -1.27928e+02     3.449578e+00-2.794690e-06j   1.881757e+03+2.717749e+03j            7.878502e+02          
    -1.27528e+02     3.469980e+00-1.868949e-06j   1.898207e+03+2.732298e+03j            7.874106e+02          
    -1.27127e+02     3.490439e+00-9.421083e-07j   1.914751e+03+2.746894e+03j            7.869766e+02          
    -1.26727e+02     3.510954e+00-1.453244e-08j   1.931391e+03+2.761534e+03j            7.865482e+02          
    -1.26326e+02     3.531524e+00+9.134129e-07j   1.948125e+03+2.776221e+03j            7.861253e+02          
    -1.25926e+02     3.552149e+00+1.841362e-06j   1.964955e+03+2.790952e+03j            7.857079e+02          
    -1.25526e+02     3.572828e+00+2.768948e-06j   1.981879e+03+2.805729e+03j            7.852960e+02          
    -1.25125e+02     3.593562e+00+3.695806e-06j   1.998898e+03+2.820551e+03j            7.848897e+02          
    -1.24725e+02     3.614348e+00+4.621569e-06j   2.016013e+03+2.835418e+03j            7.844888e+02          
    -1.24324e+02     3.635188e+00+5.545873e-06j   2.033223e+03+2.850330e+03j            7.840935e+02          
    -1.23924e+02     3.656081e+00+6.468351e-06j   2.050528e+03+2.865287e+03j            7.837036e+02          
    -1.23524e+02     3.677025e+00+7.388639e-06j   2.067928e+03+2.880289e+03j            7.833193e+02          
    -1.23123e+02     3.698021e+00+8.306373e-06j   2.085424e+03+2.895335e+03j            7.829404e+02          
    -1.22723e+02     3.719069e+00+9.221189e-06j   2.103015e+03+2.910426e+03j            7.825670e+02          
    -1.22322e+02     3.740167e+00+1.013273e-05j   2.120701e+03+2.925560e+03j            7.821990e+02          
    -1.21922e+02     3.761315e+00+1.104062e-05j   2.138482e+03+2.940740e+03j            7.818366e+02          
    -1.21522e+02     3.782513e+00+1.194452e-05j   2.156359e+03+2.955963e+03j            7.814795e+02          
    -1.21121e+02     3.803760e+00+1.284406e-05j   2.174331e+03+2.971230e+03j            7.811280e+02          
    -1.20721e+02     3.825055e+00+1.373888e-05j   2.192399e+03+2.986541e+03j            7.807818e+02          
    -1.20320e+02     3.846399e+00+1.462863e-05j   2.210561e+03+3.001896e+03j            7.804411e+02          
    -1.19920e+02     3.867790e+00+1.551296e-05j   2.228819e+03+3.017295e+03j            7.801059e+02          
    -1.19520e+02     3.889229e+00+1.639152e-05j   2.247172e+03+3.032737e+03j            7.797760e+02          
    -1.19119e+02     3.910714e+00+1.726395e-05j   2.265621e+03+3.048222e+03j            7.794516e+02          
    -1.18719e+02     3.932245e+00+1.812991e-05j   2.284164e+03+3.063751e+03j            7.791326e+02          
    -1.18318e+02     3.953821e+00+1.898906e-05j   2.302803e+03+3.079323e+03j            7.788191e+02          
    -1.17918e+02     3.975443e+00+1.984104e-05j   2.321536e+03+3.094937e+03j            7.785109e+02          
    -1.17518e+02     3.997108e+00+2.068554e-05j   2.340365e+03+3.110595e+03j            7.782082e+02          
    -1.17117e+02     4.018818e+00+2.152220e-05j   2.359288e+03+3.126295e+03j            7.779108e+02          
    -1.16717e+02     4.040571e+00+2.235069e-05j   2.378306e+03+3.142037e+03j            7.776189e+02          
    -1.16316e+02     4.062366e+00+2.317069e-05j   2.397419e+03+3.157822e+03j            7.773323e+02          
    -1.15916e+02     4.084204e+00+2.398186e-05j   2.416626e+03+3.173649e+03j            7.770512e+02          
    -1.15516e+02     4.106083e+00+2.478389e-05j   2.435928e+03+3.189519e+03j            7.767754e+02          
    -1.15115e+02     4.128003e+00+2.557645e-05j   2.455325e+03+3.205430e+03j            7.765050e+02          
    -1.14715e+02     4.149963e+00+2.635923e-05j   2.474815e+03+3.221383e+03j            7.762401e+02          
    -1.14314e+02     4.171963e+00+2.713191e-05j   2.494400e+03+3.237378e+03j            7.759804e+02          
    -1.13914e+02     4.194002e+00+2.789418e-05j   2.514078e+03+3.253414e+03j            7.757262e+02          
    -1.13514e+02     4.216079e+00+2.864575e-05j   2.533851e+03+3.269491e+03j            7.754774e+02          
    -1.13113e+02     4.238194e+00+2.938630e-05j   2.553717e+03+3.285610e+03j            7.752339e+02          
    -1.12713e+02     4.260347e+00+3.011554e-05j   2.573677e+03+3.301769e+03j            7.749958e+02          
    -1.12312e+02     4.282536e+00+3.083319e-05j   2.593730e+03+3.317970e+03j            7.747631e+02          
    -1.11912e+02     4.304762e+00+3.153894e-05j   2.613876e+03+3.334211e+03j            7.745357e+02          
    -1.11512e+02     4.327022e+00+3.223252e-05j   2.634116e+03+3.350492e+03j            7.743138e+02          
    -1.11111e+02     4.349318e+00+3.291365e-05j   2.654448e+03+3.366814e+03j            7.740972e+02          
    -1.10711e+02     4.371647e+00+3.358206e-05j   2.674873e+03+3.383177e+03j            7.738859e+02          
    -1.10310e+02     4.394010e+00+3.423748e-05j   2.695390e+03+3.399579e+03j            7.736800e+02          
    -1.09910e+02     4.416405e+00+3.487963e-05j   2.715999e+03+3.416020e+03j            7.734795e+02          
    -1.09510e+02     4.438833e+00+3.550828e-05j   2.736701e+03+3.432502e+03j            7.732844e+02          
    -1.09109e+02     4.461292e+00+3.612315e-05j   2.757494e+03+3.449023e+03j            7.730946e+02          
    -1.08709e+02     4.483782e+00+3.672400e-05j   2.778378e+03+3.465583e+03j            7.729102e+02          
